NON_GOI,GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type,set
0.914943831467727,0.914943831467727,0.914943831467727,483,5649,8,76,0.864042933810376,0.998585822874315,0,"1839736, 1462658, 298511, 1456955, 14619",training,mcc,1
0.908217430491111,0.908217430491111,0.908217430491111,1885,22623,66,287,0.867863720073665,0.997091101414783,0,"1839736, 1462658, 298511, 1456955, 14619",validation,mcc,1
0.909569262440565,0.909569262440565,0.909569262440565,2368,28272,74,363,0.867081655071402,0.997389402384816,0,"1839736, 1462658, 298511, 1456955, 14619",all,mcc,1
0.915221297313386,0.915221297313386,0.915221297313386,493,5639,18,66,0.881932021466905,0.996818101467209,0,"2034218, 1462658, 1456955, 14619, 678802",training,mcc,1
0.910257116727682,0.910257116727682,0.910257116727682,1932,22579,109,239,0.889912482726854,0.995195698166432,2,"2034218, 1462658, 1456955, 14619, 678802",validation,mcc,1
0.91124377344223,0.91124377344223,0.91124377344223,2425,28218,127,305,0.888278388278388,0.995519491973893,2,"2034218, 1462658, 1456955, 14619, 678802",all,mcc,1
0.910021262690527,0.910021262690527,0.910021262690527,489,5638,19,70,0.874776386404293,0.996641329326498,0,"1261781, 1462658, 1456955, 14619, 678802",training,mcc,1
0.917429311360386,0.917429311360386,0.917429311360386,1953,22586,102,219,0.899171270718232,0.995504231311707,1,"1261781, 1462658, 1456955, 14619, 678802",validation,mcc,1
0.915901944884394,0.915901944884394,0.915901944884394,2442,28224,121,289,0.894177956792384,0.995731169518434,1,"1261781, 1462658, 1456955, 14619, 678802",all,mcc,1
0.908968660253782,0.908968660253782,0.908968660253782,488,5638,19,71,0.87298747763864,0.996641329326498,0,"1230154, 1462658, 1456955, 14619, 678802",training,mcc,1
0.911216612612841,0.911216612612841,0.911216612612841,1916,22601,87,256,0.882136279926335,0.996165373765867,1,"1230154, 1462658, 1456955, 14619, 678802",validation,mcc,1
0.910754482791817,0.910754482791817,0.910754482791817,2404,28239,106,327,0.88026363969242,0.996260363379785,1,"1230154, 1462658, 1456955, 14619, 678802",all,mcc,1
0.910751908132853,0.910751908132853,0.910751908132853,478,5650,7,81,0.855098389982111,0.998762595015026,0,"77785, 1462658, 1456955, 14619, 1905610",training,mcc,1
